["ci.note IN ('(writer)', '(voice)', '(voice)', '(adprom manager)', '(adprom manager)')", "cn.country_code = '[us]'", "it.info = 'release dates'", "mc.note LIKE '%DVD%'", "mc.note LIKE '%version%'", "mi.info LIKE '%heroism%'", "mi.info LIKE '%h%'", "n.gender = 'm'", "n.name LIKE '%Ho%'", "rt.role = 'actor'", "t.production_year > 2004", "t.production_year < 2007"],
["ci.note IN ('(voice)', '(producer)', '(uncredited)', '(writer)', '(voice)')", "cn.country_code = '[us]'", "it.info = 'release dates'", "mc.note LIKE '%1917%'", "mc.note LIKE '%USA%'", "mi.info LIKE '%E%'", "mi.info LIKE '%o%'", "n.gender = 'm'", "n.name LIKE '%Baker%'", "rt.role = 'actor'", "t.production_year > 1911", "t.production_year < 2013"],
["ci.note IN ('(producer)', '(producer)', '(uncredited)', '(uncredited)', '(uncredited)')", "cn.country_code = '[us]'", "it.info = 'countries'", "mc.note LIKE '%DVD%'", "mc.note LIKE '%DVD%'", "mi.info LIKE '%o%'", "mi.info LIKE '%A%'", "n.gender = 'm'", "n.name LIKE '%Bradley%'", "rt.role = 'actor'", "t.production_year > 2008", "t.production_year < 2013"],
["ci.note IN ('(producer)', '(writer)', '(supervising producer)', '(written by)', '(voice)')", "cn.country_code = '[us]'", "it.info = 'genres'", "mc.note LIKE '%2000%'", "mc.note LIKE '%1993%'", "mi.info LIKE '%e%'", "mi.info LIKE '%c%'", "n.gender = 'm'", "n.name LIKE '%De%'", "rt.role = 'actor'", "t.production_year > 1999", "t.production_year < 2010"],
["ci.note IN ('(production assistant)', '(uncredited)', '(uncredited)', '(uncredited)', '(uncredited)')", "cn.country_code = '[us]'", "it.info = 'genres'", "mc.note LIKE '%in%'", "mc.note LIKE '%USA%'", "mi.info LIKE '%l%'", "mi.info LIKE '%n%'", "n.gender = 'm'", "n.name LIKE '%Clark%'", "rt.role = 'actor'", "t.production_year > 1929", "t.production_year < 2011"],
["ci.note IN ('(associate producer)', '(producer)', '(voice)', '(executive producer)', '(uncredited)')", "cn.country_code = '[fr]'", "it.info = 'release dates'", "mc.note LIKE '%association%'", "mc.note LIKE '%VHS%'", "mi.info LIKE '%C%'", "mi.info LIKE '%A%'", "n.gender = 'm'", "n.name LIKE '%Robert%'", "rt.role = 'actor'", "t.production_year > 1991", "t.production_year < 2011"],
["ci.note IN ('(writer)', '(archive footage)', '(archive footage)', '(writer)', '(archive footage)')", "cn.country_code = '[us]'", "it.info = 'release dates'", "mc.note LIKE '%7%'", "mc.note LIKE '%2009%'", "mi.info LIKE '%C%'", "mi.info LIKE '%s%'", "n.gender = 'm'", "n.name LIKE '%Bo%'", "rt.role = 'actor'", "t.production_year > 2006", "t.production_year < 2013"],
["ci.note IN ('(voice)', '(voice)', '(voice)', '(voice)', '(voice)')", "cn.country_code = '[us]'", "it.info = 'release dates'", "mc.note LIKE '%2004%'", "mc.note LIKE '%DVD%'", "mi.info LIKE '%A%'", "mi.info LIKE '%l%'", "n.gender = 'm'", "n.name LIKE '%Graham%'", "rt.role = 'actor'", "t.production_year > 1996", "t.production_year < 2008"],
["ci.note IN ('(uncredited)', '(uncredited)', '(uncredited)', '(uncredited)', '(uncredited)')", "cn.country_code = '[us]'", "it.info = 'release dates'", "mc.note LIKE '%DVD%'", "mc.note LIKE '%2005%'", "mi.info LIKE '%a%'", "mi.info LIKE '%l%'", "n.gender = 'm'", "n.name LIKE '%Earl%'", "rt.role = 'actor'", "t.production_year > 1983", "t.production_year < 2013"],
["ci.note IN ('(uncredited)', '(voice)', '(uncredited)', '(voice)', '(uncredited)')", "cn.country_code = '[us]'", "it.info = 'release dates'", "mc.note LIKE '%Hungary%'", "mc.note LIKE '%USA%'", "mi.info LIKE '%years%'", "mi.info LIKE '%A%'", "n.gender = 'm'", "n.name LIKE '%Ho%'", "rt.role = 'actor'", "t.production_year > 1982", "t.production_year < 1999"],
["ci.note IN ('(supervising producer)', '(executive producer)', '(uncredited)', '(executive producer)', '(supervising producer)')", "cn.country_code = '[nl]'", "it.info = 'release dates'", "mc.note LIKE '%USA%'", "mc.note LIKE '%DVD%'", "mi.info LIKE '%White%'", "mi.info LIKE '%t%'", "n.gender = 'm'", "n.name LIKE '%Ho%'", "rt.role = 'actor'", "t.production_year > 2009", "t.production_year < 2009"],
["ci.note IN ('(executive producer)', '(voice)', '(uncredited)', '(uncredited)', '(uncredited)')", "cn.country_code = '[us]'", "it.info = 'release dates'", "mc.note LIKE '%2008%'", "mc.note LIKE '%Japan%'", "mi.info LIKE '%U%'", "mi.info LIKE '%l%'", "n.gender = 'm'", "n.name LIKE '%Brian%'", "rt.role = 'actor'", "t.production_year > 1930", "t.production_year < 2011"],
["ci.note IN ('(uncredited)', '(uncredited)', '(uncredited)', '(uncredited)', '(executive producer)')", "cn.country_code = '[us]'", "it.info = 'release dates'", "mc.note LIKE '%1990%'", "mc.note LIKE '%2007%'", "mi.info LIKE '%One%'", "mi.info LIKE '%a%'", "n.gender = 'm'", "n.name LIKE '%Chris%'", "rt.role = 'actor'", "t.production_year > 1994", "t.production_year < 2011"],
["ci.note IN ('(voice)', '(voice)', '(uncredited)', '(uncredited)', '(voice)')", "cn.country_code = '[us]'", "it.info = 'release dates'", "mc.note LIKE '%production%'", "mc.note LIKE '%DVD%'", "mi.info LIKE '%e%'", "mi.info LIKE '%o%'", "n.gender = 'm'", "n.name LIKE '%John%'", "rt.role = 'actor'", "t.production_year > 1967", "t.production_year < 1998"],
["ci.note IN ('(executive producer)', '(uncredited)', '(uncredited)', '(producer)', '(uncredited)')", "cn.country_code = '[us]'", "it.info = 'release dates'", "mc.note LIKE '%USA%'", "mc.note LIKE '%USA%'", "mi.info LIKE '%l%'", "mi.info LIKE '%m%'", "n.gender = 'm'", "n.name LIKE '%Corey%'", "rt.role = 'actor'", "t.production_year > 1961", "t.production_year < 2010"],
["ci.note IN ('(writer)', '(voice)', '(voice)', '(voice)', '(voice)')", "cn.country_code = '[de]'", "it.info = 'release dates'", "mc.note LIKE '%DVD%'", "mc.note LIKE '%theatrical%'", "mi.info LIKE '%to%'", "mi.info LIKE '%drone%'", "n.gender = 'm'", "n.name LIKE '%Dan%'", "rt.role = 'actor'", "t.production_year > 1919", "t.production_year < 2010"],
["ci.note IN ('(written by)', '(supervising producer)', '(written by)', '(voice)', '(script supervisor)')", "cn.country_code = '[us]'", "it.info = 'release dates'", "mc.note LIKE '%TV%'", "mc.note LIKE '%TV%'", "mi.info LIKE '%C%'", "mi.info LIKE '%r%'", "n.gender = 'm'", "n.name LIKE '%R%'", "rt.role = 'actor'", "t.production_year > 1986", "t.production_year < 2005"],
["ci.note IN ('(writer)', '(executive producer)', '(writer)', '(credit only)', '(voice)')", "cn.country_code = '[us]'", "it.info = 'countries'", "mc.note LIKE '%USA%'", "mc.note LIKE '%in%'", "mi.info LIKE '%t%'", "mi.info LIKE '%h%'", "n.gender = 'm'", "n.name LIKE '%D%'", "rt.role = 'actor'", "t.production_year > 2001", "t.production_year < 2011"],
["ci.note IN ('(uncredited)', '(uncredited)', '(uncredited)', '(uncredited)', '(uncredited)')", "cn.country_code = '[us]'", "it.info = 'release dates'", "mc.note LIKE '%2008%'", "mc.note LIKE '%association%'", "mi.info LIKE '%C%'", "mi.info LIKE '%o%'", "n.gender = 'm'", "n.name LIKE '%James%'", "rt.role = 'actor'", "t.production_year > 2008", "t.production_year < 2013"],
["ci.note IN ('(writer)', '(executive producer)', '(executive producer)', '(producer)', '(voice)')", "cn.country_code = '[us]'", "it.info = 'release dates'", "mc.note LIKE '%association%'", "mc.note LIKE '%2008%'", "mi.info LIKE '%o%'", "mi.info LIKE '%it%'", "n.gender = 'm'", "n.name LIKE '%Chris%'", "rt.role = 'actor'", "t.production_year > 2006", "t.production_year < 2013"],
["ci.note IN ('(voice)', '(producer)', '(writer)', '(uncredited)', '(segment "An SNL Movie Re-Cut: Palin 2010")')", "cn.country_code = '[us]'", "it.info = 'genres'", "mc.note LIKE '%USA%'", "mc.note LIKE '%2011%'", "mi.info LIKE '%A%'", "mi.info LIKE '%r%'", "n.gender = 'm'", "n.name LIKE '%Chan%'", "rt.role = 'actor'", "t.production_year > 1973", "t.production_year < 2006"],
["ci.note IN ('(uncredited)', '(voice)', '(voice)', '(uncredited)', '(voice)')", "cn.country_code = '[de]'", "it.info = 'release dates'", "mc.note LIKE '%in%'", "mc.note LIKE '%DVD%'", "mi.info LIKE '%o%'", "mi.info LIKE '%A%'", "n.gender = 'm'", "n.name LIKE '%Arthur%'", "rt.role = 'actor'", "t.production_year > 1926", "t.production_year < 1944"],
["ci.note IN ('(uncredited)', '(uncredited)', '(uncredited)', '(uncredited)', '(uncredited)')", "cn.country_code = '[us]'", "it.info = 'release dates'", "mc.note LIKE '%2004%'", "mc.note LIKE '%association%'", "mi.info LIKE '%with%'", "mi.info LIKE '%n%'", "n.gender = 'm'", "n.name LIKE '%D%'", "rt.role = 'actor'", "t.production_year > 1978", "t.production_year < 1999"],
["ci.note IN ('(uncredited)', '(uncredited)', '(uncredited)', '(uncredited)', '(production assistant)')", "cn.country_code = '[us]'", "it.info = 'release dates'", "mc.note LIKE '%TV%'", "mc.note LIKE '%association%'", "mi.info LIKE '%PCS%'", "mi.info LIKE '%o%'", "n.gender = 'm'", "n.name LIKE '%Donald%'", "rt.role = 'actor'", "t.production_year > 1969", "t.production_year < 2012"],
["ci.note IN ('(voice: English version)', '(voice: English version)', '(credit only)', '(voice: English version)', '(voice: English version)')", "cn.country_code = '[us]'", "it.info = 'genres'", "mc.note LIKE '%1978%'", "mc.note LIKE '%USA%'", "mi.info LIKE '%S%'", "mi.info LIKE '%n%'", "n.gender = 'm'", "n.name LIKE '%De%'", "rt.role = 'actor'", "t.production_year > 1897", "t.production_year < 2013"]
