["(mi.info LIKE '%cheddar%' OR mi.info LIKE '%C%')", "ci.note IN ('(associate producer)', '(voice)', '(uncredited)', '(production assistant)', '(associate producer)')", "cn.country_code = '[us]'", "it.info = 'release dates'", "k.keyword IN ('sex', 'sex', 'sex', 'sex', 'sex')", "n.gender = 'm' AND n.name LIKE '%P%'", "rt.role = 'actor'", "t.production_year > 1968"],
["(mi.info LIKE '%n%' OR mi.info LIKE '%you%')", "ci.note IN ('(uncredited)', '(uncredited)', '(uncredited)', '(uncredited)', '(uncredited)')", "cn.country_code = '[gb]'", "it.info = 'genres'", "k.keyword IN ('two-word-title', 'arcade-game', 'martial-arts', 'dog', 'erotica')", "n.gender = 'm' AND n.name LIKE '%Robert%'", "rt.role = 'actor'", "t.production_year > 1973"],
["(mi.info LIKE '%o%' OR mi.info LIKE '%i%')", "ci.note IN ('(executive producer)', '(executive producer)', '(producer)', '(uncredited)', '(uncredited)')", "cn.country_code = '[us]'", "it.info = 'genres'", "k.keyword IN ('sex', 'sex', 'sex', 'sex', 'sex')", "n.gender = 'm' AND n.name LIKE '%Joe%'", "rt.role = 'actor'", "t.production_year > 1971"],
["(mi.info LIKE '%o%' OR mi.info LIKE '%me%')", "ci.note IN ('(written by)', '(uncredited)', '(script supervisor)', '(associate producer)', '(screenplay)')", "cn.country_code = '[de]'", "it.info = 'release dates'", "k.keyword IN ('character-name-in-title', 'character-name-in-title', 'character-name-in-title', 'independent-film', 'character-name-in-title')", "n.gender = 'm' AND n.name LIKE '%Le%'", "rt.role = 'actor'", "t.production_year > 1989"],
["(mi.info LIKE '%they%' OR mi.info LIKE '%l%')", "ci.note IN ('(uncredited)', '(uncredited)', '(uncredited)', '(uncredited)', '(uncredited)')", "cn.country_code = '[de]'", "it.info = 'release dates'", "k.keyword IN ('based-on-novel', 'based-on-novel', 'based-on-novel', 'based-on-novel', 'based-on-novel')", "n.gender = 'm' AND n.name LIKE '%Brad%'", "rt.role = 'actor'", "t.production_year > 1965"],
["(mi.info LIKE '%I%' OR mi.info LIKE '%of%')", "ci.note IN ('(uncredited)', '(uncredited)', '(uncredited)', '(uncredited)', '(uncredited)')", "cn.country_code = '[us]'", "it.info = 'release dates'", "k.keyword IN ('character-name-in-title', 'independent-film', 'independent-film', 'independent-film', 'character-name-in-title')", "n.gender = 'm' AND n.name LIKE '%Nick%'", "rt.role = 'actor'", "t.production_year > 1979"],
["(mi.info LIKE '%M%' OR mi.info LIKE '%A%')", "ci.note IN ('(voice)', '(writer)', '(uncredited)', '(executive producer)', '(written by)')", "cn.country_code = '[us]'", "it.info = 'genres'", "k.keyword IN ('sex', 'sex', 'sex', 'sex', 'sex')", "n.gender = 'm' AND n.name LIKE '%Joe%'", "rt.role = 'actor'", "t.production_year > 1991"],
["(mi.info LIKE '%l%' OR mi.info LIKE '%A%')", "ci.note IN ('(uncredited)', '(uncredited)', '(uncredited)', '(uncredited)', '(uncredited)')", "cn.country_code = '[gb]'", "it.info = 'release dates'", "k.keyword IN ('murder', 'murder', 'murder', 'murder', 'murder')", "n.gender = 'm' AND n.name LIKE '%Amato%'", "rt.role = 'actor'", "t.production_year > 1978"],
["(mi.info LIKE '%o%' OR mi.info LIKE '%UK%')", "ci.note IN ('(uncredited)', '(uncredited)', '(uncredited)', '(uncredited)', '(uncredited)')", "cn.country_code = '[de]'", "it.info = 'release dates'", "k.keyword IN ('nudity', 'based-on-play', 'based-on-play', 'nudity', 'nudity')", "n.gender = 'm' AND n.name LIKE '%Brooks%'", "rt.role = 'actor'", "t.production_year > 1967"],
["(mi.info LIKE '%M%' OR mi.info LIKE '%C%')", "ci.note IN ('(uncredited)', '(uncredited)', '(uncredited)', '(uncredited)', '(uncredited)')", "cn.country_code = '[us]'", "it.info = 'release dates'", "k.keyword IN ('female-nudity', 'female-nudity', 'female-nudity', 'female-nudity', 'female-nudity')", "n.gender = 'm' AND n.name LIKE '%Joe%'", "rt.role = 'actor'", "t.production_year > 1979"],
["(mi.info LIKE '%o%' OR mi.info LIKE '%n%')", "ci.note IN ('(writer)', '(writer)', '(uncredited)', '(uncredited)', '(producer)')", "cn.country_code = '[us]'", "it.info = 'countries'", "k.keyword IN ('sex', 'sex', 'sex', 'sex', 'sex')", "n.gender = 'm' AND n.name LIKE '%Costello%'", "rt.role = 'actor'", "t.production_year > 1980"],
["(mi.info LIKE '%g%' OR mi.info LIKE '%n%')", "ci.note IN ('(uncredited)', '(uncredited)', '(uncredited)', '(uncredited)', '(uncredited)')", "cn.country_code = '[us]'", "it.info = 'release dates'", "k.keyword IN ('murder', 'murder', 'murder', 'murder', 'murder')", "n.gender = 'm' AND n.name LIKE '%Gillis%'", "rt.role = 'actor'", "t.production_year > 1974"],
["(mi.info LIKE '%33%' OR mi.info LIKE '%a%')", "ci.note IN ('(uncredited)', '(uncredited)', '(uncredited)', '(uncredited)', '(uncredited)')", "cn.country_code = '[de]'", "it.info = 'release dates'", "k.keyword IN ('character-name-in-title', 'character-name-in-title', 'character-name-in-title', 'character-name-in-title', 'character-name-in-title')", "n.gender = 'm' AND n.name LIKE '%Paul%'", "rt.role = 'actor'", "t.production_year > 1982"],
["(mi.info LIKE '%l%' OR mi.info LIKE '%o%')", "ci.note IN ('(uncredited)', '(uncredited)', '(uncredited)', '(uncredited)', '(uncredited)')", "cn.country_code = '[us]'", "it.info = 'release dates'", "k.keyword IN ('sex', 'sex', 'sex', 'sex', 'sex')", "n.gender = 'm' AND n.name LIKE '%Bob%'", "rt.role = 'actor'", "t.production_year > 1981"],
["(mi.info LIKE '%35%' OR mi.info LIKE '%r%')", "ci.note IN ('(written by)', '(director of photography)', '(uncredited)', '(production assistant)', '(uncredited)')", "cn.country_code = '[de]'", "it.info = 'release dates'", "k.keyword IN ('character-name-in-title', 'independent-film', 'character-name-in-title', 'independent-film', 'independent-film')", "n.gender = 'm' AND n.name LIKE '%Jim%'", "rt.role = 'actor'", "t.production_year > 1974"],
["(mi.info LIKE '%D%' OR mi.info LIKE '%s%')", "ci.note IN ('(unit publicist)', '(1980)', '(teleplay)', '(second unit coordinator)', '(uncredited)')", "cn.country_code = '[us]'", "it.info = 'genres'", "k.keyword IN ('independent-film', 'character-name-in-title', 'independent-film', 'character-name-in-title', 'character-name-in-title')", "n.gender = 'm' AND n.name LIKE '%Jackie%'", "rt.role = 'actor'", "t.production_year > 1975"],
["(mi.info LIKE '%Now%' OR mi.info LIKE '%a%')", "ci.note IN ('(uncredited)', '(uncredited)', '(uncredited)', '(uncredited)', '(uncredited)')", "cn.country_code = '[us]'", "it.info = 'release dates'", "k.keyword IN ('sex', 'sex', 'sex', 'sex', 'sex')", "n.gender = 'm' AND n.name LIKE '%W%'", "rt.role = 'actor'", "t.production_year > 1984"],
["(mi.info LIKE '%l%' OR mi.info LIKE '%her%')", "ci.note IN ('(creator)', '(associate producer)', '(associate producer)', '(written by)', '(uncredited)')", "cn.country_code = '[gb]'", "it.info = 'countries'", "k.keyword IN ('murder', 'murder', 'murder', 'murder', 'murder')", "n.gender = 'm' AND n.name LIKE '%D%'", "rt.role = 'actor'", "t.production_year > 1968"],
["(mi.info LIKE '%M%' OR mi.info LIKE '%1%')", "ci.note IN ('(writer)', '(production assistant)', '(executive producer)', '(production assistant)', '(uncredited)')", "cn.country_code = '[us]'", "it.info = 'release dates'", "k.keyword IN ('sex', 'sex', 'sex', 'sex', 'sex')", "n.gender = 'm' AND n.name LIKE '%Dan%'", "rt.role = 'actor'", "t.production_year > 1966"],
["(mi.info LIKE '%33%' OR mi.info LIKE '%i%')", "ci.note IN ('(uncredited)', '(uncredited)', '(uncredited)', '(uncredited)', '(uncredited)')", "cn.country_code = '[us]'", "it.info = 'release dates'", "k.keyword IN ('hardcore', 'hardcore', 'hardcore', 'hardcore', 'hardcore')", "n.gender = 'm' AND n.name LIKE '%Costello%'", "rt.role = 'actor'", "t.production_year > 1971"],
["(mi.info LIKE '%o%' OR mi.info LIKE '%a%')", "ci.note IN ('(uncredited)', '(uncredited)', '(uncredited)', '(uncredited)', '(uncredited)')", "cn.country_code = '[us]'", "it.info = 'release dates'", "k.keyword IN ('sequel', 'one-word-title', 'tv-mini-series', 'arcade-game', 'cult-film')", "n.gender = 'm' AND n.name LIKE '%Joe%'", "rt.role = 'actor'", "t.production_year > 1988"],
["(mi.info LIKE '%o%' OR mi.info LIKE '%1%')", "ci.note IN ('(uncredited)', '(uncredited)', '(uncredited)', '(uncredited)', '(uncredited)')", "cn.country_code = '[de]'", "it.info = 'release dates'", "k.keyword IN ('independent-film', 'character-name-in-title', 'character-name-in-title', 'character-name-in-title', 'independent-film')", "n.gender = 'm' AND n.name LIKE '%Christoph%'", "rt.role = 'actor'", "t.production_year > 1963"],
["(mi.info LIKE '%r%' OR mi.info LIKE '%o%')", "ci.note IN ('(voice)', '(producer)', '(uncredited)', '(uncredited)', '(voice)')", "cn.country_code = '[it]'", "it.info = 'release dates'", "k.keyword IN ('female-nudity', 'female-nudity', 'female-nudity', 'female-nudity', 'female-nudity')", "n.gender = 'm' AND n.name LIKE '%William%'", "rt.role = 'actor'", "t.production_year > 1971"],
["(mi.info LIKE '%o%' OR mi.info LIKE '%Can%')", "ci.note IN ('(uncredited)', '(uncredited)', '(uncredited)', '(uncredited)', '(uncredited)')", "cn.country_code = '[us]'", "it.info = 'countries'", "k.keyword IN ('based-on-play', 'nudity', 'number-in-title', 'nudity', 'number-in-title')", "n.gender = 'm' AND n.name LIKE '%Dan%'", "rt.role = 'actor'", "t.production_year > 1976"],
["(mi.info LIKE '%l%' OR mi.info LIKE '%OFM%')", "ci.note IN ('(production assistant)', '(voice)', '(production assistant)', '(production assistant)', '(production assistant)')", "cn.country_code = '[de]'", "it.info = 'genres'", "k.keyword IN ('surrealism', 'one-word-title', 'husband-wife-relationship', 'two-word-title', 'violence')", "n.gender = 'm' AND n.name LIKE '%J%'", "rt.role = 'actor'", "t.production_year > 1984"],
["(mi.info LIKE '%i%' OR mi.info LIKE '%are%')", "ci.note IN ('(uncredited)', '(uncredited)', '(uncredited)', '(uncredited)', '(uncredited)')", "cn.country_code = '[gb]'", "it.info = 'release dates'", "k.keyword IN ('character-name-in-title', 'independent-film', 'character-name-in-title', 'character-name-in-title', 'character-name-in-title')", "n.gender = 'm' AND n.name LIKE '%Michael%'", "rt.role = 'actor'", "t.production_year > 1966"],
["(mi.info LIKE '%and%' OR mi.info LIKE '%r%')", "ci.note IN ('(producer)', '(producer)', '(uncredited)', '(writer)', '(writer)')", "cn.country_code = '[de]'", "it.info = 'genres'", "k.keyword IN ('based-on-novel', 'based-on-novel', 'based-on-novel', 'based-on-novel', 'based-on-novel')", "n.gender = 'm' AND n.name LIKE '%Michael%'", "rt.role = 'actor'", "t.production_year > 1967"],
["(mi.info LIKE '%M%' OR mi.info LIKE '%it%')", "ci.note IN ('(uncredited)', '(voice)', '(producer)', '(producer)', '(producer)')", "cn.country_code = '[de]'", "it.info = 'release dates'", "k.keyword IN ('sex', 'sex', 'sex', 'sex', 'sex')", "n.gender = 'm' AND n.name LIKE '%Tony%'", "rt.role = 'actor'", "t.production_year > 1970"],
["(mi.info LIKE '%but%' OR mi.info LIKE '%o%')", "ci.note IN ('(voice)', '(voice)', '(voice)', '(voice)', '(voice)')", "cn.country_code = '[us]'", "it.info = 'release dates'", "k.keyword IN ('female-nudity', 'female-nudity', 'female-nudity', 'female-nudity', 'female-nudity')", "n.gender = 'm' AND n.name LIKE '%D%'", "rt.role = 'actor'", "t.production_year > 1986"],
["(mi.info LIKE '%i%' OR mi.info LIKE '%a%')", "ci.note IN ('(uncredited)', '(voice)', '(voice) (uncredited)', '(uncredited)', '(screenplay)')", "cn.country_code = '[de]'", "it.info = 'genres'", "k.keyword IN ('one-word-title', 'police', 'martial-arts', 'martial-arts', 'dog')", "n.gender = 'm' AND n.name LIKE '%Dan%'", "rt.role = 'actor'", "t.production_year > 1984"],
["(mi.info LIKE '%Oh%' OR mi.info LIKE '%o%')", "ci.note IN ('(uncredited)', '(uncredited)', '(uncredited)', '(uncredited)', '(uncredited)')", "cn.country_code = '[us]'", "it.info = 'genres'", "k.keyword IN ('character-name-in-title', 'independent-film', 'character-name-in-title', 'character-name-in-title', 'independent-film')", "n.gender = 'm' AND n.name LIKE '%Ray%'", "rt.role = 'actor'", "t.production_year > 1981"],
["(mi.info LIKE '%e%' OR mi.info LIKE '%o%')", "ci.note IN ('(writer)', '(voice)', '(executive producer)', '(voice)', '(executive producer)')", "cn.country_code = '[us]'", "it.info = 'release dates'", "k.keyword IN ('based-on-novel', 'based-on-novel', 'based-on-novel', 'based-on-novel', 'based-on-novel')", "n.gender = 'm' AND n.name LIKE '%D%'", "rt.role = 'actor'", "t.production_year > 1983"],
["(mi.info LIKE '%l%' OR mi.info LIKE '%Black%')", "ci.note IN ('(uncredited)', '(uncredited)', '(uncredited)', '(uncredited)', '(uncredited)')", "cn.country_code = '[us]'", "it.info = 'release dates'", "k.keyword IN ('police', 'male-nudity', 'husband-wife-relationship', 'tv-mini-series', 'tv-mini-series')", "n.gender = 'm' AND n.name LIKE '%Harry%'", "rt.role = 'actor'", "t.production_year > 1970"],
["(mi.info LIKE '%1%' OR mi.info LIKE '%a%')", "ci.note IN ('(uncredited)', '(uncredited)', '(uncredited)', '(uncredited)', '(uncredited)')", "cn.country_code = '[gb]'", "it.info = 'genres'", "k.keyword IN ('blood', 'arcade-game', 'one-word-title', 'death', 'non-fiction')", "n.gender = 'm' AND n.name LIKE '%Dan%'", "rt.role = 'actor'", "t.production_year > 1964"],
["(mi.info LIKE '%l%' OR mi.info LIKE '%n%')", "ci.note IN ('(uncredited)', '(uncredited)', '(uncredited)', '(uncredited)', '(uncredited)')", "cn.country_code = '[gb]'", "it.info = 'release dates'", "k.keyword IN ('murder', 'murder', 'murder', 'murder', 'murder')", "n.gender = 'm' AND n.name LIKE '%Jes̼s%'", "rt.role = 'actor'", "t.production_year > 1968"],
["(mi.info LIKE '%a%' OR mi.info LIKE '%o%')", "ci.note IN ('(writer)', '(executive producer)', '(uncredited)', '(uncredited)', '(writer)')", "cn.country_code = '[us]'", "it.info = 'genres'", "k.keyword IN ('martial-arts', 'husband-wife-relationship', 'family-relationships', 'sequel', 'friendship')", "n.gender = 'm' AND n.name LIKE '%Curtis%'", "rt.role = 'actor'", "t.production_year > 1973"],
["(mi.info LIKE '%OFM%' OR mi.info LIKE '%1%')", "ci.note IN ('(uncredited)', '(written by)', '(executive producer)', '(uncredited)', '(executive producer)')", "cn.country_code = '[us]'", "it.info = 'release dates'", "k.keyword IN ('murder', 'murder', 'murder', 'murder', 'murder')", "n.gender = 'm' AND n.name LIKE '%Shaun%'", "rt.role = 'actor'", "t.production_year > 1971"],
["(mi.info LIKE '%l%' OR mi.info LIKE '%RAT%')", "ci.note IN ('(voice: English version)', '(voice: English version)', '(archive footage)', '(archive footage)', '(archive footage)')", "cn.country_code = '[us]'", "it.info = 'release dates'", "k.keyword IN ('arcade-game', 'lesbian-sex', 'death', 'two-word-title', 'revenge')", "n.gender = 'm' AND n.name LIKE '%Franco%'", "rt.role = 'actor'", "t.production_year > 1963"],
["(mi.info LIKE '%o%' OR mi.info LIKE '%Spherical%')", "ci.note IN ('(executive producer)', '(executive producer)', '(executive producer)', '(executive producer)', '(voice)')", "cn.country_code = '[us]'", "it.info = 'release dates'", "k.keyword IN ('lesbian-sex', 'non-fiction', 'rape', 'police', 'female-frontal-nudity')", "n.gender = 'm' AND n.name LIKE '%D%'", "rt.role = 'actor'", "t.production_year > 1989"],
["(mi.info LIKE '%Bambu%' OR mi.info LIKE '%r%')", "ci.note IN ('(uncredited)', '(uncredited)', '(uncredited)', '(uncredited)', '(uncredited)')", "cn.country_code = '[us]'", "it.info = 'release dates'", "k.keyword IN ('based-on-novel', 'based-on-novel', 'based-on-novel', 'based-on-novel', 'based-on-novel')", "n.gender = 'm' AND n.name LIKE '%Roger%'", "rt.role = 'actor'", "t.production_year > 1970"]
